<version>,<mean_time>,<total>
1162,2.4711,121.084
1163,2.47698,121.372
1164,2.48118,121.578
1165,2.48018,121.529
1166,2.47929,121.485
1167,2.48053,121.546
1168,2.47588,121.318
1169,2.48273,121.654
1170,2.49471,122.241
1171,2.48837,121.93
1172,2.49173,122.095
1173,2.49394,122.203
1174,2.49737,122.371
1175,2.49292,122.153
1176,2.4989,122.446
1177,2.50155,122.576
1178,2.50204,122.6
1179,2.50859,122.921
1180,2.50463,122.727
1181,2.50796,122.89
1182,2.50845,122.914
1183,2.51318,123.146
1184,2.51757,123.361
1185,2.51692,123.329
1186,2.54069,124.494
1187,2.52388,123.67
1188,2.52327,123.64
1189,2.51996,123.478
1190,2.52588,123.768
1191,2.52608,123.778
1192,2.52984,123.962
1193,2.52649,123.798
1194,2.53849,124.386
1195,2.54265,124.59
1196,2.53557,124.243
1197,2.54033,124.476
1198,2.53729,124.327
1199,2.54027,124.473
1200,2.54727,124.816
1201,2.54861,124.882
1202,2.54435,124.673
1203,2.54724,124.815
1204,2.55108,125.003
1205,2.55529,125.209
1206,2.5539,125.141
1207,2.5581,125.347
1208,2.56292,125.583
1209,2.55967,125.424
1210,2.56027,125.453
1211,2.56447,125.659
1212,2.56882,125.872
1213,2.56543,125.706
1214,2.57241,126.048
1215,2.57029,125.944
1216,2.57159,126.008
1217,2.57441,126.146
1218,2.57798,126.321
1219,2.57453,126.152
1220,2.58284,126.559
1221,2.5842,126.626
1222,2.58349,126.591
1223,2.59047,126.933
1224,2.5899,126.905
1225,2.59098,126.958
1226,2.60043,127.421
1227,2.5912,126.969
1228,2.59606,127.207
1229,2.60055,127.427
1230,2.59859,127.331
1231,2.6032,127.557
1232,2.60933,127.857
1233,2.60686,127.736
1234,2.60488,127.639
1235,2.6099,127.885
1236,2.61198,127.987
1237,2.61273,128.024
1238,2.61282,128.028
1239,2.61341,128.057
